Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
M00839833-I1,MANHATTAN,,2023-03-08,2024-02-25,353,2024-03-08,43.0,,Permit Entire,1010970,102,40.73651,-74.00276,235,WEST   11 STREET,1,614,36,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00840187-I1,MANHATTAN,,2023-03-15,2024-02-25,346,2024-03-15,271.0,,Permit Entire,1012125,102,40.7383,-74.00932,113,JANE STREET,1,642,1,AMM ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00840188-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-03-17,115.0,,Permit Entire,1023757,105,40.76584,-73.97738,120,CENTRAL PARK SOUTH,1,1011,42,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00840206-I1,MANHATTAN,,2023-03-09,2024-02-25,352,2024-10-14,35.0,,Permit Entire,1019931,106,40.74229,-73.97837,244,EAST   30 STREET,1,910,39,MOHAMMAD AHEAD  PE,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00840218-I1,MANHATTAN,,2023-03-09,2024-02-25,352,2024-10-14,62.0,,Permit Entire,1013828,104,40.74121,-74.00053,252,WEST   17 STREET,1,766,7501,MOHAMMAD AHEAD  PE,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00840234-I1,MANHATTAN,,2023-03-09,2024-02-25,352,2024-10-14,67.0,,Permit Entire,1034139,107,40.79419,-73.9753,310,WEST   94 STREET,1,1252,65,MOHAMMAD AHEAD  PE,1,DOB NOW,Local Law 11,Other Zoning Districts
M00840346-I1,MANHATTAN,,2023-03-10,2024-02-25,351,2024-03-10,65.0,,Permit Entire,1016902,105,40.74388,-73.98482,31,EAST   28 STREET,1,858,7501,MOHAMMAD AHEAD  PE,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00840466-I1,MANHATTAN,,2023-03-08,2024-02-25,353,2024-03-08,35.0,,Permit Entire,1035363,105,40.75424,-73.97925,10,EAST   44 STREET,1,1278,64,ARQUITECTURA VARELA,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00840499-I1,MANHATTAN,,2023-03-13,2024-02-25,348,2024-06-09,53.0,,Permit Entire,1001962,101,40.71768,-74.00714,35,WORTH STREET,1,176,12,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00840516-I1,MANHATTAN,,2023-03-14,2024-02-25,347,2024-03-14,439.0,,Permit Entire,1086498,111,40.80212,-73.94292,1831,MADISON AVENUE,1,1746,21,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00840695-I1,MANHATTAN,,2023-03-15,2024-02-25,346,2024-03-15,35.0,,Permit Entire,1002642,102,40.71761,-73.99757,111,MOTT STREET,1,205,23,TOHFAZ UDDIN PE PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00840798-I1,MANHATTAN,,2023-03-20,2024-02-25,341,2024-06-04,477.0,,Permit Entire,1001127,101,40.70791,-74.0065,90,JOHN STREET,1,69,7502,BARLOW ENGINEERING,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00840826-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-03-17,52.0,,Permit Entire,1084673,105,40.76291,-73.97535,15,WEST   56 STREET,1,1272,26,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00841004-I1,MANHATTAN,,2023-03-14,2024-02-25,347,2024-02-25,30.0,,Permit Entire,1004143,103,40.72028,-73.98281,151,RIDGE STREET,1,345,25,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00841014-I1,MANHATTAN,,2023-03-14,2024-02-25,347,2024-02-25,30.0,,Permit Entire,1004142,103,40.72034,-73.98277,153,RIDGE STREET,1,345,24,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00841121-I1,MANHATTAN,,2023-04-25,2024-02-25,305,2024-03-09,111.0,,Permit Entire,1003354,103,40.71272,-73.99688,20,HENRY STREET,1,277,48,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00841194-I1,MANHATTAN,,2023-03-27,2024-02-25,334,2024-03-27,60.0,,Permit Entire,1078584,104,40.74271,-73.99765,211,WEST   20 STREET,1,770,31,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00841196-I1,MANHATTAN,,2023-03-09,2024-02-25,352,2024-03-09,610.0,,Permit Entire,1085945,103,40.71041,-73.99039,82,RUTGERS SLIP,1,248,15,LAWSON CHRISTIAN,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00841568-I1,MANHATTAN,,2023-08-17,2024-02-25,191,2024-05-15,175.0,,Permit Entire,1076751,112,40.8566,-73.926,549,AUDUBON AVENUE,1,2160,18,HIGHBURY CONCRETE,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00841588-I1,MANHATTAN,,2023-03-10,2024-02-25,351,2024-03-10,35.0,,Permit Entire,1003033,102,40.72052,-74.00056,456,BROADWAY,1,232,11,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00841901-I1,MANHATTAN,,2023-03-24,2024-02-25,337,2024-03-24,695.0,,Permit Entire,1086107,107,40.7906,-73.97342,203,WEST   90 STREET,1,1238,7503,MOHAMMAD AHEAD  PE,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00841963-I1,MANHATTAN,,2023-03-29,2024-02-25,332,2024-03-29,220.0,,Permit Entire,1001115,101,40.70814,-74.00686,80,JOHN STREET,1,68,7501,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00841966-I1,MANHATTAN,,2023-03-22,2024-02-25,339,2024-09-30,96.0,,Permit Entire,1010613,102,40.73688,-73.99844,118,WEST   13 STREET,1,608,29,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
