Account.Id,EVT,FT,NA,NULL,PT,TotalComplaints
40256,0,2,0,0,0,2
17459,0,2,0,0,0,2
20706,0,3,0,0,0,3
27941,0,30,0,0,0,30
14419,0,6,0,0,0,6
27943,0,1,0,0,0,1
44837,0,4,1,0,0,5
27948,0,1,0,0,0,1
45553,0,3,0,0,0,3
27958,0,0,2,0,0,2
45779,0,7,0,0,0,7
28373,0,2,0,0,0,2
45888,0,2,0,0,0,2
28396,0,12,2,0,0,14
21188,0,7,0,0,0,7
28428,0,5,0,0,0,5
46494,0,11,1,0,0,12
28446,0,1,0,0,0,1
46699,0,0,1,0,0,1
28449,44,0,0,0,0,44
46811,0,2,0,0,0,2
28502,0,1,0,0,0,1
37403,0,1,0,0,0,1
28505,0,1,0,0,0,1
38030,0,2,0,0,0,2
28512,0,2,0,0,0,2
38112,0,4,0,0,0,4
28519,0,4,0,0,0,4
38123,0,26,0,0,0,26
28522,0,1,0,0,0,1
38137,0,2,0,0,0,2
17729,0,1,0,0,0,1
38149,0,5,0,0,0,5
18271,0,3,3,0,0,6
38228,0,1,0,0,0,1
28918,0,12,6,0,0,18
20623,0,1,0,0,0,1
15141,0,0,0,0,1,1
38487,0,2,0,0,0,2
18583,0,5,0,0,0,5
20632,0,9,0,0,0,9
18602,0,1,0,0,0,1
39062,0,2,0,0,0,2
28971,0,0,2,0,0,2
39497,0,1,0,0,0,1
29011,0,4,0,0,0,4
39963,0,13,0,0,0,13
29013,0,4,0,0,0,4
20693,0,7,0,0,0,7
29016,0,13,0,0,0,13
40453,0,2,0,0,0,2
30126,0,8,2,0,0,10
40673,0,13,0,0,0,13
18607,0,1,0,0,0,1
41176,0,5,0,0,0,5
30174,0,1,0,0,0,1
41475,0,2,0,0,0,2
30236,0,2,1,0,0,3
41814,0,8,2,0,0,10
18733,0,1,0,0,0,1
45069,0,2,0,0,0,2
18749,0,1,0,0,0,1
45361,0,7,0,0,0,7
30826,0,2,0,0,0,2
45607,0,0,1,0,0,1
32649,0,36,10,0,0,46
45700,0,0,1,0,0,1
32654,0,2,0,0,0,2
45781,0,3,1,0,0,4
32655,0,1,0,0,4,5
45788,0,2,0,0,0,2
32667,0,3,0,0,0,3
46178,0,6,1,0,0,7
32693,0,2,4,0,0,6
46282,0,6,0,0,0,6
32696,0,186,57,0,0,243
21283,0,2,0,0,0,2
32701,0,6,0,0,0,6
46343,0,12,0,0,0,12
32735,0,1,0,0,0,1
46680,0,1,0,0,0,1
32745,0,1,0,0,0,1
21405,0,28,0,0,0,28
32746,0,2,0,0,0,2
46701,0,2,0,0,0,2
32752,0,4,0,0,0,4
21408,0,5,0,0,1,6
32775,0,4,0,0,0,4
46878,2,0,1,0,9,12
32778,0,5,0,0,0,5
36965,0,2,0,0,0,2
32779,0,1,0,0,0,1
20621,0,1,0,0,0,1
32780,0,3,0,0,0,3
37617,0,1,0,0,0,1
32808,0,12,0,0,0,12
38094,0,20,0,0,0,20
32811,0,2,0,0,0,2
38110,0,1,0,0,0,1
32815,0,1,0,0,0,1
38115,0,1,0,0,0,1
32819,0,6,0,0,0,6
38121,0,1,0,0,0,1
32820,0,1,0,0,0,1
38126,0,4,0,0,0,4
32825,0,10,0,0,0,10
38136,0,4,1,0,0,5
15148,0,1,0,0,0,1
38139,0,7,0,0,0,7
32856,0,3,2,0,0,5
38148,0,2,0,0,0,2
32860,0,5,1,0,0,6
38150,0,3,0,0,0,3
32869,0,1,0,0,0,1
38219,0,2,0,0,0,2
32870,0,4,1,0,0,5
38235,0,1,0,0,0,1
32871,0,2,0,0,0,2
38254,0,1,0,0,0,1
33322,0,3,0,0,0,3
38275,0,2,0,0,0,2
33478,0,2,0,0,0,2
38483,0,1,0,0,0,1
46931,0,4,0,0,0,4
38504,0,2,0,0,0,2
46933,0,9,0,0,0,9
20625,0,0,1,0,0,1
46947,0,1,0,0,0,1
38913,0,36,0,0,0,36
47017,0,2,0,0,0,2
38949,0,5,3,0,0,8
13314,0,2,0,0,0,2
20643,0,3,0,0,0,3
33840,0,0,2,0,0,2
13901,0,1,0,0,0,1
33867,0,5,0,0,0,5
39786,84,0,0,0,0,84
34428,0,1,0,0,0,1
39942,0,2,0,0,0,2
34481,0,1,0,0,0,1
40255,0,11,1,0,0,12
34728,0,1,0,0,0,1
40257,0,3,0,0,0,3
34732,0,1,0,0,0,1
40284,0,3,0,0,0,3
34741,0,1,0,0,0,1
20701,0,3,0,0,0,3
34792,0,2,0,0,0,2
40537,0,6,0,0,0,6
35242,0,4,0,0,0,4
40562,0,1,0,0,0,1
15153,0,17,1,0,0,18
40779,0,18,0,0,0,18
